,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
0,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go south,south of house you are facing the south side of a white house there is no door here and all the windows are boarded,1.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed - moved around - ,1.5,0,0
1,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go south,forest this is a dimly lit forest with large trees all around,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are empty-handed - moved around - ,3.0,1,1
2,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,4.5,2,2
3,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,6.0,3,3
4,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,read forest,how does one read a forest ,-1.0,,5.0,4,4
5,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,6.5,5,5
6,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,6.0,6,6
7,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,5.5,7,7
8,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,5.0,8,8
9,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,4.5,9,9
10,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,4.0,10,10
11,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest path,-0.5, - moved around - ,3.5,11,11
12,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,5.0,12,12
